"Identifiant action de formation";"Enseignements de spécialité de classe de 1ère générale";"Identifiant et fiche onisep lieu de cours";"UAI lieu de cours";"Libellé lieu de cours";"Adresse lieu de cours";"Boîte postale lieu de cours";"Code postal lieu de cours";"Commune lieu de cours";"Département lieu de cours";"Région lieu de cours";"Académie lieu de cours";"AF date création";"AF date de modification"
AF.23666;"sciences économiques et sociales / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16488;0271282X;"Lycée privé Jeanne d'Arc - Saint-Anselme";"11-13 rue Le Prévost de Beaumont";;27300;Bernay;Eure;Normandie;Normandie;06/06/2020;15/02/2021
AF.23672;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11853;0940580V;"Lycée de Cachan";"63 avenue du Président Wilson";;94235;Cachan;Val-de-Marne;Ile-de-France;Créteil;06/06/2020;12/06/2024
AF.23681;"sciences économiques et sociales / LLCER espagnol / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7567;0451526P;"Lycée Charles Péguy";"1 cours Victor Hugo";;45074;Orléans;Loiret;"Centre-Val de Loire";Orléans-Tours;06/06/2020;25/03/2024
AF.23687;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13976;0772277G;"Lycée polyvalent Henri Becquerel";"1 boulevard Henri Rousselle";;77370;Nangis;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;06/06/2020
AF.23690;"biologie-écologie / mathématiques / physique-chimie";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9220;0141112H;"Lycée agricole Le Robillard";"938 route du Lycée Agricole, Lieury";;14170;Saint-Pierre-en-Auge;Calvados;Normandie;Normandie;06/06/2020;06/06/2020
AF.23697;"sciences économiques et sociales / sciences de l'ingénieur / mathématiques / physique-chimie / sciences de la vie et de la Terre / numérique et sciences informatiques / histoire-géographie, géopolitique et sciences politiques";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5300;0900004R;"Lycée général et technologique Raoul Follereau";"3 rue Louis Marchal";;90000;Belfort;Territoire-de-Belfort;Bourgogne-Franche-Comté;Besançon;06/06/2020;16/02/2024
AF.23703;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10867;0831444U;"Lycée Sainte Jeanne d'Arc";"Avenue Dreo";;83170;Brignoles;Var;"Provence-Alpes-Côte d'Azur";Nice;06/06/2020;05/04/2022
AF.23713;"biologie-écologie / mathématiques / physique-chimie";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1485;0671685T;"Lycée agricole d'Obernai";"44 boulevard de l'Europe";"CS 50203";67212;Obernai;Bas-Rhin;"Grand Est";Strasbourg;06/06/2020;06/06/2020
AF.23719;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8442;0790036K;"Lycée Jean Moulin";"1 rue Albert Buisson";"BP 171";79101;Thouars;Deux-Sèvres;Nouvelle-Aquitaine;Poitiers;06/06/2020;13/03/2025
AF.23726;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / littérature et langues et cultures de l'Antiquité / physique-chimie / sciences de la vie et de la Terre / numérique et sciences informatiques";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.844;;"Lycée polyvalent privé Philippine Duchesne - site de Corenc";"118 avenue de l'Eygala";;38700;Corenc;Isère;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;06/06/2024
