"Identifiant action de formation";"Enseignements optionnels et langues de classe de 2nde GT";"Identifiant et fiche onisep lieu de cours";"UAI lieu de cours";"Libellé lieu de cours";"Adresse lieu de cours";"Boîte postale lieu de cours";"Code postal lieu de cours";"Commune lieu de cours";"Département lieu de cours";"Région lieu de cours";"Académie lieu de cours";"AF date création";"AF date de modification"
AF.76562;"Éducation physique et sportive / Italien / Santé et social / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais / LV2 : allemand, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13613;0210013A;"Lycée polyvalent Désiré Nisard";"19 rue de Seine";"BP 61";21402;Châtillon-sur-Seine;Côte-d'Or;Bourgogne-Franche-Comté;Dijon;06/06/2020;28/02/2025
AF.76708;"Écologie, agronomie, territoires, développement durable / Hippologie et équitation / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9220;0141112H;"Lycée agricole Le Robillard";"938 route du Lycée Agricole, Lieury";;14170;Saint-Pierre-en-Auge;Calvados;Normandie;Normandie;06/06/2020;21/04/2023
AF.2059;"Arts : arts plastiques / Éducation physique et sportive / Espagnol / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences et laboratoire / LV1 : anglais / LV2 : allemand, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6891;0210003P;"Lycée polyvalent Prieur de la Côte-d'Or";"6 rue Vauban";;21130;Auxonne;Côte-d'Or;Bourgogne-Franche-Comté;Dijon;06/06/2020;14/03/2024
AF.24956;"Arts : arts plastiques / Arts : théâtre / Création et innovation technologiques / Italien / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11100;0440001M;"Lycée polyvalent Joseph Joubert - Émilien Maillard";"160 rue du Pressoir Rouge, Esplanade Esther Senot";"BP 60159";44150;Ancenis-Saint-Géréon;Loire-Atlantique;"Pays de la Loire";Nantes;06/06/2020;10/02/2025
AF.9060;"Arts : arts plastiques / Japonais / Russe / Italien / Hébreu moderne / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand, russe / LV2 : espagnol, anglais, allemand, russe, italien, japonais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1556;0690023A;"Lycée Ampère";"29 rue de la Bourse";;69002;Lyon;Rhône;Auvergne-Rhône-Alpes;Lyon;06/06/2020;06/02/2025
AF.71165;"Arts : arts plastiques / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / LV1 : espagnol, anglais / LV2 : espagnol, anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16352;0320023B;"Lycée polyvalent Alain Fournier";"3 avenue Laplagne";;32300;Mirande;Gers;Occitanie;Toulouse;06/06/2020;10/11/2022
AF.11127;"Biotechnologies / Santé et social / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4087;0022042J;"Lycée polyvalent Jean Bouin";"Rue Gaston Bachelard";;2100;Saint-Quentin;Aisne;Hauts-de-France;Amiens;06/06/2020;06/06/2020
AF.82402;"Création et innovation technologiques / Éducation physique et sportive / Sciences de l'ingénieur / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9209;0760056Y;"Lycée général et technologique Jules Siegfried";"1 rue Dumé d'Aplemont";"BP 237";76054;"Le Havre";Seine-Maritime;Normandie;Normandie;06/06/2020;16/09/2021
AF.93554;"Éducation physique et sportive / LV1 : anglais / LV2 : espagnol, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21622;0383550C;"Lycée général et technologique privé soeur Emmanuelle";"2 route de Volgeat";BP38460;38460;Villemoirieu;Isère;Auvergne-Rhône-Alpes;Grenoble;14/10/2020;21/03/2023
AF.36658;"Biotechnologies / Création et innovation technologiques / Santé et social / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais, espagnol / LV2 : anglais, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12224;0120006S;"Lycée polyvalent La Découverte";"Avenue Léo Lagrange";"BP 352";12300;Decazeville;Aveyron;Occitanie;Toulouse;06/06/2020;15/01/2024
AF.42465;"Création et innovation technologiques / Sciences de l'ingénieur / LV1 : anglais, espagnol / LV2 : espagnol, allemand, anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11009;0312822Z;"Lycée polyvalent Charles de Gaulle";"24 avenue Charles de Gaulle";"BP 10113";31604;Muret;Haute-Garonne;Occitanie;Toulouse;06/06/2020;18/12/2025
AF.16329;"Création et innovation technologiques / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / LV1 : anglais / LV2 : espagnol, japonais, langues rares océaniennes";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19404;9830693L;"Lycée polyvalent du Mont-Doré";"Avenue des deux baies, Saint-Michel";"BP 865";98810;"Mont dore";Nouvelle-Calédonie;"Collectivités d'outre-mer";"Collectivités d'Outre Mer";06/06/2020;06/06/2020
AF.82431;"Écologie, agronomie, territoires, développement durable / Hippologie et équitation / Pratiques physiques et sportives / Pratiques professionnelles / LV1 : anglais / LV2 : espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.933;0351047Y;"Lycée Saint-Exupéry - Rennes";"Rue Fernand Robert";"CS 84233";35042;Rennes;Ille-et-Vilaine;Bretagne;Rennes;06/06/2020;18/12/2024
AF.88241;"Arts : arts plastiques / Arts : musique / Éducation physique et sportive / Italien / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais, allemand / LV2 : anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11521;0572340J;"Lycée Antoine Gapp - Site de Forbach";"2 avenue du Général Passaga";;57600;Forbach;Moselle;"Grand Est";Nancy-Metz;06/06/2020;11/02/2022
AF.57045;"LV1 : anglais / LV2 : espagnol, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16917;0062094U;"Cours privé Cyrano Lycée";"5 rue d'Italie";;6000;Nice;Alpes-Maritimes;"Provence-Alpes-Côte d'Azur";Nice;06/06/2020;15/05/2025
AF.70904;"Anglais / Arts : arts plastiques / Langues et cultures de l'Antiquité : latin / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12330;0932047V;"Lycée polyvalent Évariste Galois";"32 avenue Montaigne";;93165;Noisy-le-Grand;Seine-Saint-Denis;Ile-de-France;Créteil;06/06/2020;13/02/2025
AF.65157;"Arts : danse / Éducation physique et sportive / Italien / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1635;0771996B;"Lycée polyvalent Honoré de Balzac";"Avenue Paul Langevin";;77290;Mitry-Mory;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;06/06/2020
AF.3951;"Écologie, agronomie, territoires, développement durable / Hippologie et équitation / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5779;0501234V;"Agri'pôle Saint-Hilaire du Harcouët";"400 route de Fougères";;50600;"Les Loges-Marchis";Manche;Normandie;Normandie;06/06/2020;21/04/2023
AF.90139;"Arts : arts plastiques / Arts : cinéma-audiovisuel / Arts : théâtre / Biotechnologies / Chinois / Allemand / Espagnol / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, chinois";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18942;0440163N;"Lycée général et technologique privé Saint-Stanislas";"2 rue Saint-Stanislas";;44000;Nantes;Loire-Atlantique;"Pays de la Loire";Nantes;06/06/2020;20/02/2024
AF.65183;"Arts : arts plastiques / Arts : théâtre / Éducation physique et sportive / Italien / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8232;0520027X;"Lycée polyvalent Saint-Exupéry";"82 rue Anatole France";"BP 1060";52100;Saint-Dizier;Haute-Marne;"Grand Est";Reims;06/06/2020;06/06/2020
AF.65209;"Arts : musique / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Management et gestion / Russe / Chinois / Italien / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, chinois";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3377;0160002R;"Lycée Guez de Balzac";"Place Beaulieu";"CS 62102";16021;Angoulême;Charente;Nouvelle-Aquitaine;Poitiers;06/06/2020;24/02/2025
AF.7800;"Arts : musique / Chinois / Culture et pratique de la danse / Culture et pratique de la musique / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Sciences de l'ingénieur / LV1 : anglais, allemand, arabe / LV2 : anglais, allemand, espagnol, chinois, arabe";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16446;0210015C;"Lycée général et technologique Carnot";"16 boulevard Thiers";;21000;Dijon;Côte-d'Or;Bourgogne-Franche-Comté;Dijon;06/06/2020;07/03/2025
AF.44743;"Management et gestion / LV1 : anglais / LV2 : espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18961;0301767H;"Sports Études Hauts de Nîmes - HDN Academy";"620 chemin des Hauts de Nîmes";;30900;Nîmes;Gard;Occitanie;Montpellier;06/06/2020;19/01/2026
AF.76835;"Allemand / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences et laboratoire / LV1 : espagnol, anglais, allemand, italien / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1225;0311586F;"Lycée général et technologique Henri de Toulouse-Lautrec";"64 boulevard Pierre et Marie Curie";"BP 22156";31020;Toulouse;Haute-Garonne;Occitanie;Toulouse;06/06/2020;09/01/2025
AF.3866;"Italien / Japonais / Langues et cultures de l'Antiquité : latin / LV1 : anglais / LV2 : espagnol, allemand, chinois";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8044;0171418Z;"Lycée Antoine de Saint-Exupéry";"Allée De Lattre de Tassigny";;17028;"La Rochelle";Charente-Maritime;Nouvelle-Aquitaine;Poitiers;06/06/2020;25/02/2026
AF.42288;"Arts : arts plastiques / Arts : musique / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Portugais / Occitan / Russe / LV1 : anglais, allemand / LV2 : espagnol, italien, portugais, russe, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2154;0300021K;"Lycée Alphonse Daudet";"3 boulevard Victor Hugo";;30039;Nîmes;Gard;Occitanie;Montpellier;06/06/2020;14/11/2024
AF.59486;"Arts : théâtre / Création et culture-design / Création et innovation technologiques / Éducation physique et sportive / Italien / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : espagnol, anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9231;0470038L;"Lycée polyvalent Lot-et-Bastides";"Avenue d'Agen";"BP 306";47307;Villeneuve-sur-Lot;Lot-et-Garonne;Nouvelle-Aquitaine;Bordeaux;06/06/2020;06/06/2020
AF.71003;"Arts : arts plastiques / Arts : cinéma-audiovisuel / Arts : danse / Arts : histoire des arts / Arts : musique / Chinois / Créole / Création et innovation technologiques / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : espagnol, anglais, allemand, chinois / LV2 : espagnol, anglais, allemand, arabe";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9439;9740001H;"Lycée général et technologique Leconte de Lisle";"3 allée des étudiants, Cité scolaire du Butor";"BP 40037";97490;Saint-Denis;"La Réunion";"La Réunion";"La Réunion";06/06/2020;06/06/2020
AF.70993;"Arts : arts plastiques / Éducation physique et sportive / Espagnol / Italien / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7425;0690563M;"Lycée Saint-Louis - Saint-Bruno";"16 rue des Chartreux";;69283;Lyon;Rhône;Auvergne-Rhône-Alpes;Lyon;06/06/2020;07/02/2023
AF.59426;"Catalan / Italien / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences et laboratoire / LV1 : espagnol, anglais / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15219;0660809W;"Lycée polyvalent Aristide Maillol";"73 avenue Pau Casals";"BP 30544";66055;Perpignan;Pyrénées-Orientales;Occitanie;Montpellier;06/06/2020;27/11/2024
AF.53643;"Italien / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14507;0940122X;"Lycée polyvalent Condorcet";"1 avenue Condorcet";;94214;Saint-Maur-des-Fossés;Val-de-Marne;Ile-de-France;Créteil;06/06/2020;06/06/2020
AF.55486;"Allemand / Chinois / Espagnol / Italien / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : espagnol, anglais, allemand, italien / LV2 : anglais, allemand, chinois, espagnol, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8824;0593225K;"Marcq Institution - Lycée";"170 rue du Collège";;59700;Marcq-en-Baroeul;Nord;Hauts-de-France;Lille;06/06/2020;17/02/2026
AF.76552;"Écologie, agronomie, territoires, développement durable / Hippologie et équitation / Pratiques professionnelles / LV1 : anglais / LV2 : espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16391;0421088E;"Lycée d'enseignement général, technologique et professionnel agricole de Montbrison site de Précieux - Campus Agronova";"Le Bourg, Précieux";"BP 204";42605;Montbrison;Loire;Auvergne-Rhône-Alpes;Lyon;06/06/2020;09/10/2023
AF.21306;"Éducation physique et sportive / Espagnol / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.877;0770942F;"Lycée polyvalent Thibaut de Champagne";"3 rue du Collège";"BP 213";77487;Provins;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;21/02/2025
AF.21068;"Arts : cinéma-audiovisuel / Création et innovation technologiques / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9583;0624141P;"Lycée polyvalent Léonard de Vinci";"Rue Pasteur Martin Luther King";;62228;Calais;Pas-de-Calais;Hauts-de-France;Lille;06/06/2020;12/02/2026
AF.53685;"LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7671;0442083A;"Centre éducatif nantais pour jeunes sportifs";"Plaine de jeux de la Jonelière";;44240;"La Chapelle-sur-Erdre";Loire-Atlantique;"Pays de la Loire";Nantes;06/06/2020;12/02/2021
AF.9736;"Arts : cinéma-audiovisuel / Chinois / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Management et gestion / Santé et social / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand, chinois";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3955;9741087N;"Lycée polyvalent Boisjoly Potier";"1 rue Ignaz Pleyel";"CS 91007";97839;"Le Tampon";"La Réunion";"La Réunion";"La Réunion";06/06/2020;28/09/2020
AF.84307;"Biotechnologies / Création et innovation technologiques / Éducation physique et sportive / Santé et social / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais, allemand, espagnol / LV2 : espagnol, allemand, anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2035;0622803K;"Lycée général et technologique Blaise Pascal";"1 rue Blaise Pascal";"BP 70049";62967;Longuenesse;Pas-de-Calais;Hauts-de-France;Lille;06/06/2020;12/02/2026
AF.70898;"Langues et cultures de l'Antiquité : latin / Russe / Allemand / LV1 : anglais, allemand, espagnol / LV2 : espagnol, anglais, allemand, russe, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17648;0420041S;"Lycée Claude Fauriel";"28 avenue de la Libération";"BP 506";42007;Saint-Etienne;Loire;Auvergne-Rhône-Alpes;Lyon;06/06/2020;04/01/2022
AF.2187;"Écologie, agronomie, territoires, développement durable / Hippologie et équitation / Pratiques professionnelles / LV1 : anglais / LV2 : allemand, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1881;0623276Z;"Lycée d'enseignement agricole privé Sainte-Marie";"52 rue d'Isbergues";;62120;Aire-sur-la-Lys;Pas-de-Calais;Hauts-de-France;Lille;06/06/2020;05/05/2023
AF.36707;"Écologie, agronomie, territoires, développement durable / Hippologie et équitation / Pratiques physiques et sportives / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3725;0622257S;"Campus agro-environnemental 62 site d'Arras";"Route de Cambrai";;62217;Tilloy-lès-Mofflaines;Pas-de-Calais;Hauts-de-France;Lille;06/06/2020;05/05/2023
AF.25024;"Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / LV1 : anglais / LV2 : espagnol, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3815;0131327X;"Lycée de Tour Sainte";"12 avenue de Tour Sainte, Sainte Marthe";;13014;Marseille;Bouches-du-Rhône;"Provence-Alpes-Côte d'Azur";Aix-Marseille;06/06/2020;06/06/2020
AF.53688;"Arts : arts plastiques / Arts : cinéma-audiovisuel / Arts : danse / Arts : musique / Arts : théâtre / Création et culture-design / Japonais / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11332;0951710T;"Lycée Camille Claudel";"4 avenue Federico Garcia Lorca";;95490;Vauréal;Val-d'Oise;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.2083;"Écologie, agronomie, territoires, développement durable / Hippologie et équitation / Pratiques professionnelles / LV1 : allemand, anglais, espagnol, italien / LV2 : allemand, anglais, espagnol, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2914;0430112N;"LEGTA de Brioude Bonnefont Saugues - site de Fontannes";"Route de Bonnefont";;43100;Fontannes;Haute-Loire;Auvergne-Rhône-Alpes;Clermont-Ferrand;06/06/2020;30/08/2023
AF.135767;"Arabe / Arts : arts plastiques / Création et innovation technologiques / Éducation physique et sportive / Sciences de l'ingénieur";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7447;0932229T;"Lycée polyvalent Paul Le Rolland";"136 avenue de Castelnau";;93700;Drancy;Seine-Saint-Denis;Ile-de-France;Créteil;13/02/2025;13/02/2025
AF.42350;"Arts : arts plastiques / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3987;0020031Y;"Lycée Frédéric et Irène Joliot Curie";"1 rue Chanzy";;2500;Hirson;Aisne;Hauts-de-France;Amiens;06/06/2020;02/10/2020
AF.15311;"Arts : arts plastiques / Arts : cinéma-audiovisuel / Création et innovation technologiques / Langues et cultures de l'Antiquité : latin / Sciences de l'ingénieur / LV1 : anglais, allemand / LV2 : anglais, allemand, espagnol, breton";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10101;0290051Y;"Lycée Tristan Corbière";"16 rue de Kerveguen";"BP 17149";29671;Morlaix;Finistère;Bretagne;Rennes;06/06/2020;11/04/2024
AF.72726;"Arts : cinéma-audiovisuel / Arts : musique / Arts : théâtre / Chinois / Création et culture-design / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11586;0911828T;"Lycée Georges Brassens";"8 rue Georges Brassens";;91080;Evry-Courcouronnes;Essonne;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.71027;"Atelier artistique / Éducation physique et sportive / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8710;0520019N;"Lycée Philippe Lebon";"11 rue de Sprendlingen";;52301;Joinville;Haute-Marne;"Grand Est";Reims;06/06/2020;23/03/2022
