CODE_UAI;NUM_SIRET;CODE_ACADEMIE;ACADEMIE;DEPARTEMENT;SIGLE_UAI;NATURE_UAI;PATRONYME;NOM_ETABLISSEMENT;STATUT;CONTRAT_ETABLISSEMENT;ADRESSE_POSTALE;CODE_POSTAL;CODE_INSEE;COMMUNE;TELEPHONE;FAX;SITE_WEB;MAIL;MINISTERE_TUTELLE;INTERNAT;ANNEE_CONSTRUCTION;DATE_MAJ;GEO
0942145W;78572178800020;024;Créteil;94;SGT PR;Section d’enseignement générale et technologique;CE3P;Lycée technologique privé CE3P;privé;autres établissements;5 rue René Robin;94200;94041;Ivry-sur-Seine;0146584520;0146720681;;ce.0942145W@ac-creteil.fr;Éducation nationale;;;2025-07-02;48.81387913586163, 2.37804377008623
0910676R;19910676600017;025;Versailles;91;LPO;lycée polyvalent;CLÉMENT-ADER;Lycée polyvalent Clément Ader;public;;37 bis rue G.ANTHONIOZ DE GAULL;91200;91027;Athis-Mons;0169383636;0169848648;http://www.lyc-ader-athis.ac-versailles.fr/;ce.0910676R@ac-versailles.fr;Éducation nationale;;1970;2026-03-09;48.7111370085633, 2.3926976269304268
0950641F;19950641100016;025;Versailles;95;LPO;lycée polyvalent;JEAN-JAURÈS;Lycée polyvalent Jean Jaurès;public;;25 rue CHARLES LECOQ;95100;95018;Argenteuil;0139985000;0139985001;http://www.lyc-jaures-argenteuil.ac-versailles.fr/;ce.0950641F@ac-versailles.fr;Éducation nationale;Oui;1964;2026-02-18;48.93993923166503, 2.226184703043667
0951824S;19951824200011;025;Versailles;95;LPO;lycée polyvalent;HAUTIL (DE L');Lycée polyvalent de L'Hautil;public;;1 rue Gabriel Fauré;95280;95323;Jouy-le-Moutier;0134327171;0134327170;http://www.lyc-hautil-jouy.ac-versailles.fr/;ce.0951824S@ac-versailles.fr;Éducation nationale;;1995;2026-03-12;49.009759301761505, 2.0263271559548857
0750697A;19750697500022;001;Paris;75;LPO;lycée polyvalent;BÂTIMENT-SAINT-LAMBERT (DU);Lycée polyvalent Bâtiment-Saint-Lambert;public;;7 rue Clavel;75019;75119;Paris 19e Arrondissement;0153989800;0153989801;http://www.saint-lambert.org/;ce.0750697A@ac-paris.fr;Éducation nationale;;;2026-03-12;48.874615877255216, 2.3848990133957697
0772296C;19772296000014;024;Créteil;77;LPO;lycée polyvalent;MARE-CARRÉE (DE LA);Lycée polyvalent de la Mare Carrée;public;;70 rue de la Mare Carrée;77550;77296;Moissy-Cramayel;0164134422;;http://www.lamarecarree.fr/;ce.0772296C@ac-creteil.fr;Éducation nationale;;1992;2026-03-12;48.62843877012857, 2.5793521471418255
0940742W;19940742000017;024;Créteil;94;LPO;lycée polyvalent;GUILLAUME-BUDÉ;Lycée polyvalent Guillaume Budé;public;;2 voie Georges Pompidou;94456;94044;Limeil-Brévannes;0145103700;;http://guillaumebude.com/;ce.0940742W@ac-creteil.fr;Éducation nationale;;1965;2026-03-12;48.743740806816575, 2.510720424025152
0941918Z;19941918500038;024;Créteil;94;LPO;lycée polyvalent;CHRISTOPHE-COLOMB;Lycée polyvalent Christophe Colomb;public;;154 rue de Boissy;94370;94071;Sucy-en-Brie;0149822929;;http://www.lycee-christophecolomb94.com/;ce.0941918Z@ac-creteil.fr;Éducation nationale;;1991;2026-03-12;48.759563451086045, 2.5261158036914377
0932638M;20005225600019;024;Créteil;93;LPO;lycée polyvalent;INTERNATIONAL-DE-L'EST-PARISIEN;Lycée polyvalent International de l'Est Parisien;public;;1, promenade Marco-Polo;93160;93051;Noisy-le-Grand;0149412470;;https://liep.fr/;ce.0932638M@ac-creteil.fr;Éducation nationale;Oui;2016;2026-02-20;48.841621947798245, 2.5405863314456787
0751708Z;19751708900011;001;Paris;75;LPO;lycée polyvalent;DES-SCIENCES-ET-DU-NUMERIQUE-LOUIS-ARMAND;Lycée polyvalent Louis Armand;public;;321 rue Lecourbe;75015;75115;Paris 15e Arrondissement;0145575150;0140607352;https://www.ac-paris.fr/serail/jcms/s1_111301/fr/accueil;ce.0751708Z@ac-paris.fr;Éducation nationale;;1970;2026-03-12;48.8372023151473, 2.2852784745012107
0750695Y;19750695900018;001;Paris;75;LPO LYC METIER;lycée polyvalent;FRESNEL;Lycée polyvalent Fresnel;public;;31 boulevard Pasteur;75015;75115;Paris 15e Arrondissement;0153696262;0145667925;https://lyc-fresnel.scola.ac-paris.fr/;ce.0750695Y@ac-paris.fr;Éducation nationale;;1957;2026-01-29;48.84334295571356, 2.312706366571246
0920150N;19920150000014;025;Versailles;92;LPO LYC METIER;lycée polyvalent;PRONY (DE);Lycée polyvalent de Prony - Lycée des métiers du bois, de l'habitat, de la gestion administrative, du commerce et de l'accueil;public;;4 rue DE BRETAGNE;92600;92004;Asnières-sur-Seine;0147939417;0147937191;http://www.lyc-prony-asnieres.ac-versailles.fr/;ce.0920150N@ac-versailles.fr;Éducation nationale;;;2024-05-31;48.90434668847224, 2.284389310360964
0932123C;19931950000013;024;Créteil;93;LPO LYC METIER;lycée polyvalent;ANDRE-SABATIER;Lycée polyvalent Sabatier - Lycée des métiers de la beauté, du bien-être et du goût;public;;140 rue de la République;93000;93008;Bobigny;0141640070;0141640098;http://www.lyceesabatier.fr/;ce.0932123C@ac-creteil.fr;Éducation nationale;;1984;2026-03-12;48.90760294292736, 2.429229614654312
0771336J;19771336500017;024;Créteil;77;LPO LYC METIER;lycée polyvalent;PANNEVELLES (LES);Lycée polyvalent les Pannevelles - Lycée des métiers du bâtiment et des travaux publics;public;;Route DE CHALAUTRE LA PETITE;77481;77379;Provins;0160585580;0160585599;http://lespannevelles.net/;ce.0771336J@ac-creteil.fr;Éducation nationale;Oui;1969;2026-03-12;48.550737843247305, 3.302437989116911
